product_id,product_name,subcategory_code,unit_price,updated_date
101,Laptop,ELEC_COMP,1500.00,2026-09-17 09:00:00
102,Mouse,,25.00,2026-09-17 09:00:00
103,Keyboard,ELEC_ACC,49.99,2026-09-17 10:15:00
104,Desk,HOME_FURN,bad_price,2026-09-17 11:00:00
105,Wireless Mouse,ELEC_ACC,35.00,2026-09-17 08:30:00
106,  Monitor 27 inch  ,ELEC_COMP,320.00,2026-09-17 08:30:00
107,Office Chair,HOME_FURN,189.50,2026-09-17 14:00:00
108,USB-C Hub,ELEC_ACC,42.00,2026-09-17 09:45:00
109,iPhone 16,ELEC_MOB,899.00,2026-09-17 12:00:00
110,SAMSUNG GALAXY S25,elec_mob,849.00,2026-09-17 12:00:00
111,Headphones,ELEC_AUD,129.00,2026-09-17 16:20:00
112,Notebook A5,HOME_STAT,4.50,2026-09-17 10:00:00
113,Standing Desk,HOME_FURN,450.00,2026-09-17 11:30:00
114,Coffee Maker,HOME_KIT,89.00,2026-09-17 09:10:00
115,Yoga Mat,SPRT_FIT,-25.00,2026-09-17 13:00:00
118,Gift Card,XXXX,50.00,2026-09-17 17:00:00
